mal_id,title,title_english,title_japanese,title_synonyms,mal_url,image_url,type,source,episodes,status,airing,aired_from,aired_to,aired_string,duration,content_rating,score,scored_by,rank,popularity,members,favorites,season,year,broadcast_day,broadcast_time,studios,producers,licensors,genres,themes,demographics,opening_themes,ending_themes,synopsis,background,approved,trailer_url
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,,https://myanimelist.net/anime/1/Cowboy_Bebop,https://cdn.myanimelist.net/images/anime/4/19644.jpg,TV,Original,26.0,Finished Airing,False,1998-04-03,1999-04-24,"Apr 3, 1998 to Apr 24, 1999",24 min per ep,R - 17+ (violence & profanity),8.75,1063612.0,48.0,41,2060957,89810,spring,1998.0,Saturdays,01:00,Sunrise,Bandai Visual|Victor Entertainment|Audio Planning U,Funimation,Action|Award Winning|Sci-Fi,Adult Cast|Space,,,,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.  Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh corgi.  While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.  [Written by MAL Rewrite]","When Cowboy Bebop first aired in spring of 1998 on TV Tokyo, only episodes 2-3, 7-15, and 18 were broadcast, it was concluded with a recap special known as Yose Atsume Blues. This was due to anime censorship having increased following the big controversies over Evangelion, as a result most of the series was pulled from the air due to violent content. Satellite channel WOWOW picked up the series in the fall of that year and aired it in its entirety uncensored. Cowboy Bebop was not a ratings hit in Japan, but sold over 19,000 DVD units in the initial release run, and 81,000 overall. Protagonist Spike Spiegel won Best Male Character, and Megumi Hayashibara won Best Voice Actor for her role as Faye Valentine in the 1999 and 2000 Anime Grand Prix, respectively. Cowboy Bebop's biggest influence has been in the United States, where it premiered on Adult Swim in 2001 with many reruns since. The show's heavy Western influence struck a chord with American viewers, where it became a ""gateway drug"" to anime aimed at adult audiences.",True,
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,Cowboy Bebop: Knockin' on Heaven's Door,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,https://cdn.myanimelist.net/images/anime/1439/93480.jpg,Movie,Original,1.0,Finished Airing,False,2001-09-01,,"Sep 1, 2001",1 hr 55 min,R - 17+ (violence & profanity),8.38,232399.0,238.0,659,412490,1792,,,,,Bones,Sunrise|Bandai Visual,Sony Pictures Entertainment|Funimation,Action|Sci-Fi,Adult Cast|Space,,,,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.  With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.  [Written by MAL Rewrite]",,True,
6,Trigun,Trigun,トライガン,,https://myanimelist.net/anime/6/Trigun,https://cdn.myanimelist.net/images/anime/1130/120002.jpg,TV,Manga,26.0,Finished Airing,False,1998-04-01,1998-09-30,"Apr 1, 1998 to Sep 30, 1998",24 min per ep,PG-13 - Teens 13 or older,8.22,401893.0,416.0,266,835922,17713,spring,1998.0,Thursdays,01:15,Madhouse,Victor Entertainment|Arts Pro,Funimation,Action|Adventure|Sci-Fi,Adult Cast,Shounen,,,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs.  With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.  [Written by MAL Rewrite]","The Japanese release by Victor Entertainment has different openings relating to the specific episode it's played on. The initial Geneon Entertainment USA (then known as Pioneer) releases on VHS and DVD (singles, Signature Series, and box set) used only the first opening on each episode. This was due to the Japanese licensor providing them clean materials for only the first opening to put the English credits on. Geneon later fixed this mistake on their Limited Edition tin releases in 2005/2006, as well as on the Remix singles. Following Geneon USA's demise in late 2007, the show went out of print. When FUNimation Entertainment picked up the show in 2010 and released it, they repeated Geneon's mistake of using only the first opening on every episode. This mistake was later fixed in 2013 on the Anime Classics re-release.",True,
7,Witch Hunter Robin,Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),WHR,https://myanimelist.net/anime/7/Witch_Hunter_Robin,https://cdn.myanimelist.net/images/anime/10/19969.jpg,TV,Original,26.0,Finished Airing,False,2002-07-03,2002-12-25,"Jul 3, 2002 to Dec 25, 2002",25 min per ep,PG-13 - Teens 13 or older,7.24,46316.0,3458.0,1998,129660,712,summer,2002.0,Wednesdays,01:25,Sunrise,Bandai Visual|Dentsu|Victor Entertainment,Funimation|Bandai Entertainment,Action|Drama|Mystery|Supernatural,Detective,,,,"Though hidden away from the general public, Witches—those with supernatural powers—have always existed in human societies. Neither numerous nor inherently evil, Witches are nonetheless capable of creating disorder by misusing their powers for criminal means. The task of solving supernatural crimes falls outside of the jurisdiction of normal authorities and is instead handled by the Solomon organization.  Having finished her training in Italy, Robin Sena transfers to Solomon's local Japanese branch, STNJ. Possessing powerful pyrokinetic abilities, she is herself a Witch, putting her at odds with STNJ's methods of dealing with rogue Witches. In particular, Robin opposes the use of an elixir called Orbo, which can weaken or even neutralize a Witch's powers. If Robin wants to find her place within the organization, she must find a way to navigate the internal politics of Solomon while also handling the threat of hostile Witches—but both seem to be dangerous for very different reasons.  [Written by MAL Rewrite]",,True,
15,Eyeshield 21,,アイシールド21,Eyeshield21,https://myanimelist.net/anime/15/Eyeshield_21,https://cdn.myanimelist.net/images/anime/1079/133529.jpg,TV,Manga,145.0,Finished Airing,False,2005-04-06,2008-03-19,"Apr 6, 2005 to Mar 19, 2008",23 min per ep,PG-13 - Teens 13 or older,7.91,93428.0,876.0,1429,196013,2133,spring,2005.0,Wednesdays,19:00,Gallop,TV Tokyo|Nihon Ad Systems|TV Tokyo Music|Shueisha,VIZ Media|Sentai Filmworks,Sports,Team Sports,Shounen,,,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad.  As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College.  Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way.  [Written by MAL Rewrite]","Eyeshield 21 was original scheduled to stream in North America on Toonami Jetstream and NFL Rush in collaboration with the National Football League, but the plan fell through and the anime made its debut only on Toonami Jetstream, which later dropped the series. It would then become available in its entirety on Crunchyroll. Sentai Filmworks later licensed and released the first 52 episodes on DVD from 2010 to 2011.",True,
16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,HachiKuro|Honey & Clover,https://myanimelist.net/anime/16/Hachimitsu_to_Clover,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,TV,Manga,24.0,Finished Airing,False,2005-04-15,2005-09-27,"Apr 15, 2005 to Sep 27, 2005",23 min per ep,PG-13 - Teens 13 or older,7.98,87033.0,767.0,986,285691,4208,spring,2005.0,Fridays,00:35,J.C.Staff,Aniplex|Dentsu|Genco|Fuji TV|Asmik Ace|Shueisha,VIZ Media|Discotek Media,Comedy|Drama|Romance,Adult Cast|Love Polygon|Visual Arts,Josei,,,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him.  Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them.  Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends.  [Written by MAL Rewrite]",Hachimitsu to Clover was the first anime to air on Fuji Television's noitaminA block.,True,
18,Initial D Fourth Stage,,頭文字〈イニシャル〉D FOURTH STAGE,Initial D 4th Stage,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage,https://cdn.myanimelist.net/images/anime/9/10521.jpg,TV,Manga,24.0,Finished Airing,False,2004-04-17,2006-02-18,"Apr 17, 2004 to Feb 18, 2006",27 min per ep,PG-13 - Teens 13 or older,8.18,119773.0,468.0,1303,215675,1441,spring,2004.0,,,A.C.G.T.,OB Planning,Funimation,Action|Drama,Racing,Seinen,,,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results.  The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture.  [Written by MAL Rewrite]",,True,
19,Monster,Monster,モンスター,,https://myanimelist.net/anime/19/Monster,https://cdn.myanimelist.net/images/anime/10/18793.jpg,TV,Manga,74.0,Finished Airing,False,2004-04-07,2005-09-28,"Apr 7, 2004 to Sep 28, 2005",24 min per ep,R+ - Mild Nudity,8.89,513776.0,26.0,114,1333646,62349,spring,2004.0,Wednesdays,00:40,Madhouse,VAP|Nippon Television Network|Arts Pro,VIZ Media|Discotek Media,Drama|Mystery|Suspense,Adult Cast|Psychological,Seinen,,,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.  So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director.   Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.  [Written by MAL Rewrite]",,True,
20,Naruto,Naruto,ナルト,NARUTO,https://myanimelist.net/anime/20/Naruto,https://cdn.myanimelist.net/images/anime/1141/142503.jpg,TV,Manga,220.0,Finished Airing,False,2002-10-03,2007-02-08,"Oct 3, 2002 to Feb 8, 2007",23 min per ep,PG-13 - Teens 13 or older,8.02,2145571.0,709.0,9,3123350,86685,fall,2002.0,Thursdays,19:30,Studio Pierrot,TV Tokyo|Aniplex,VIZ Media,Action|Adventure|Fantasy,Martial Arts,Shounen,,,"Twelve years ago, a colossal demon fox terrorized the world. During the monster's attack on the Hidden Leaf Village, the Hokage—the village's leader and most powerful ninja—sacrifices himself to seal the beast inside a newborn, relieving civilization from destruction while dooming the baby to a lonely life.  Now, after years of being shunned and bullied, Naruto Uzumaki pesters the village with elaborate pranks and vandalism. Despite these antics, he works hard to achieve his dream: to become the Hokage and earn the acknowledgement of those who have mistreated him for his entire life. Naruto joins Team 7, a ninja squad made up of two of his peers—prodigy Sasuke Uchiha and clever Sakura Haruno.  Under the aloof Kakashi Hatake's leadership, Team 7 takes on a series of difficult missions, forcing its members to grow in strength and comradery despite their many differences. Naruto strives to stand out in his rivalry with Sasuke and earn the romantic affection of Sakura. But as the trio brush against danger and death, their tragic pasts threaten to tear them apart.  [Written by MAL Rewrite]","Naruto received numerous awards during its airing, including the Best Full-Length Animation Program Award in the third UStv Awards and the 38th Best Animated Show in IGN's Top 100 Animated Series. The anime was released on DVD in 16 volumes by VIZ Media from July 4, 2006, to September 22, 2009. The company rereleased it in eight volumes from October 6, 2009, to December 14, 2010. VIZ Media also made available a Blu-ray version in eight volumes from November 3, 2020, to October 18, 2022. The series adapts the first 27 volumes of the original manga.",True,
21,One Piece,One Piece,ONE PIECE,OP,https://myanimelist.net/anime/21/One_Piece,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,TV,Manga,,Currently Airing,True,1999-10-20,,"Oct 20, 1999 to ?",24 min,PG-13 - Teens 13 or older,8.73,1534285.0,54.0,17,2687998,252675,fall,1999.0,Sundays,23:15,Toei Animation,Fuji TV|TAP,Funimation|4Kids Entertainment,Action|Adventure|Fantasy,,Shounen,,,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.  The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.  As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.  [Written by MAL Rewrite]","The anime had a hiatus from October 13, 2024, to April 6, 2025. The anime switched to a seasonal release model starting from April 5, 2026. The airing time was Wednesdays 19:00 between October 20, 1999 - March 2001. The airing time was changed to Sundays 19:30 between April 2001 - December 2004. The airing time was changed to Sundays 9:30 between October 6, 2006 - October 13, 2024. The airing time was again changed to Sundays 23:15 on April 6, 2025. Several anime-original arcs have been adapted into light novels, and the series has inspired 50+ video games as of 2023. In June 2004, One Piece was licensed in North America by 4Kids Entertainment, which partnered with Viz Media for home video distribution. As One Piece proved unsuitable for their target demographic, 4Kids Entertainment censored the show to meet their standards, and, in December 2006, they stopped its production. In April 2007, Funimation took over the series licensing, providing an uncut version that remained faithful to the original release. In Japan, the anime's first 574 episodes were released exclusively on DVD by Avex Pictures from February 21, 2001, to December 4, 2013. Blu-rays also became available with the DVDs starting on January 8, 2014. In North America, Viz Media released the anime on DVD between February 28, 2006, and June 26, 2007. Funimation has re-released and continued the series since May 27, 2008. From March 23, 2021, the DVDs were accompanied by Blu-rays as well.",True,
