node,anime,community
1,Cowboy Bebop,7
5,Cowboy Bebop: Tengoku no Tobira,7
6,Trigun,6
7,Witch Hunter Robin,7
15,Eyeshield 21,3
16,Hachimitsu to Clover,14
18,Initial D Fourth Stage,7
19,Monster,7
20,Naruto,6
21,One Piece,6
22,Tennis no Oujisama,5
24,School Rumble,14
25,Sunabouzu,6
26,Texhnolyze,7
27,Trinity Blood,6
28,Yakitate!! Japan,6
30,Shinseiki Evangelion,7
31,Shinseiki Evangelion Movie: Shi to Shinsei,7
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",7
33,Kenpuu Denki Berserk,6
43,Koukaku Kidoutai,7
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,7
45,Rurouni Kenshin: Meiji Kenkaku Romantan,14
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,8
47,Akira,7
48,.hack//Sign,6
49,Aa! Megami-sama!,14
50,Aa! Megami-sama! (TV),14
51,Tenshi Kinryouku,7
52,Kidou Tenshi Angelic Layer,7
53,Ai Yori Aoshi,14
54,Appleseed (Movie),9
57,Beck,10
58,Blue Gender,7
59,Chobits,14
60,Chrno Crusade,7
61,D.N.Angel,14
62,D.C.: Da Capo,7
63,DearS,14
64,Rozen Maiden,7
65,Rozen Maiden: Träumend,7
66,Azumanga Daiou The Animation,12
67,Basilisk: Kouga Ninpou Chou,7
68,Black Cat,6
71,Full Metal Panic!,13
72,Full Metal Panic? Fumoffu,14
74,Gakuen Alice,15
75,Soukyuu no Fafner: Dead Aggressor,7
76,Mahou Shoujo Lyrical Nanoha,14
77,Mahou Shoujo Lyrical Nanoha A's,14
79,Shuffle!,14
80,Kidou Senshi Gundam,7
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,7
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7
84,Kidou Senshi Gundam 0083: Stardust Memory,7
85,Kidou Senshi Zeta Gundam,7
86,Kidou Senshi Gundam ZZ,7
87,Kidou Senshi Gundam: Gyakushuu no Char,7
90,Shin Kidou Senki Gundam Wing,7
91,Shin Kidou Senki Gundam Wing: Endless Waltz,7
93,Kidou Senshi Gundam SEED,7
94,Kidou Senshi Gundam SEED Destiny,7
95,Turn A Gundam,7
96,Kidou Butouden G Gundam,7
97,Last Exile,6
98,Mai-HiME,14
99,Mai-Otome,6
100,Shin Shirayuki-hime Densetsu Prétear,7
101,Air,7
102,Aishiteruze Baby★★,14
104,Ayashi no Ceres,7
106,Hana yori Dango,7
109,Bakuretsu Tenshi,6
114,Sakigake!! Cromartie Koukou,17
120,Fruits Basket,7
121,Fullmetal Alchemist,6
122,Full Moon wo Sagashite,14
123,Fushigi Yuugi,6
129,Gensoumaden Saiyuuki,6
132,GetBackers,7
